period,n_days,n_catchments,pooled_nse,pooled_kge,median_catchment_nse,median_catchment_kge,p10_catchment_nse,p90_catchment_nse,p10_catchment_kge,p90_catchment_kge,mean_catchment_nse,mean_catchment_kge
post,5081248,2303,0.3734899278211661,0.5282742383240784,0.3882798024166525,0.5202387370868256,-0.9935443637716725,0.6814770190594626,-0.2094133643566782,0.7795995926139525,-1.2371056113473615,0.266828359624352
pre,4111467,2505,0.3145297747584256,0.46872123970501944,0.30213033086303553,0.47785224501950585,-1.2404195341841644,0.6304385022984564,-0.2310789715685236,0.7587381864924216,-20.985230296502102,0.17957505476832947
all,9192715,2511,0.34330619506866933,0.4982287019719155,0.3267689055381129,0.49353548884816256,-1.045347309542291,0.6507685750213639,-0.16834764898271581,0.7697669308668184,-0.9924901579010416,0.2587163900501473
