subset,n_catchments,mean_delta_epsilon,mean_bootstrap_ci025,mean_bootstrap_ci975,median_delta_epsilon,median_bootstrap_ci025,median_bootstrap_ci975,negative_share,positive_share,two_sided_sign_test_p,wilcoxon_signed_rank_p
all,2297,-0.058748738396675,-0.0877515294456334,-0.0312773545487601,0.0015741636504805,0.0008145596084964,0.0022610645158704,0.4475402699172834,0.5524597300827165,5.38660408443855e-07,1.4077866692175176e-06
both_period_nse_gt_0.0,2105,-0.0374563713262973,-0.0618011316720982,-0.0129709247621564,0.0017037232852541,0.0008458091492184,0.0024138185007036,0.4446555819477434,0.5553444180522565,4.1579845177770425e-07,1.5766912577674598e-07
both_period_nse_gt_0.3,1734,-0.0243233067618082,-0.0400671207256083,-0.0087256470141074,0.0019118157553936,0.0010918963796856,0.0027276106709976,0.4354094579008074,0.5645905420991926,8.21127719083224e-08,6.144475811622645e-10
both_period_nse_gt_0.5,1304,-0.0191701131376858,-0.034769121241156,-0.0052143356685959,0.0022962727431388,0.0015137111041513,0.0032390220531735,0.4202453987730061,0.5797546012269938,9.240378452021293e-09,6.474024743786094e-14
both_period_nse_gt_0.6,907,-0.0011903872031762,-0.0158783728747584,0.0124649601815468,0.0031455591467177,0.0020917416853869,0.0043671851543802,0.3958103638368247,0.6041896361631753,3.738822112824908e-10,9.106273540098864e-20
