GCIN,pre_epsilon_mean,pre_qobs_valid_days,pre_n_recession_days_predicted,pre_nse,pre_kge,pre_fold_nse_mean,pre_fold_nse_std,pre_fold_kge_mean,pre_folds_scored,post_epsilon_mean,post_qobs_valid_days,post_n_recession_days_predicted,post_nse,post_kge,post_fold_nse_mean,post_fold_nse_std,post_fold_kge_mean,post_folds_scored,delta_epsilon_mean
35,0.23200227064372686,1833,1833,0.7547715869124728,0.8366155538031868,0.7522917745891811,0.08845624121682202,0.7780996230453348,2,0.1861068996719699,2820,2820,0.7614305965357047,0.8246957293023246,0.6863198125338483,0.17516708714798984,0.7847734912421184,4,-0.04589537097175697
36,0.8375845843751546,3015,3015,0.7164499940976854,0.8073919268072827,0.7078788132275209,0.05000926444675797,0.711902269970059,3,0.5138615414073597,3580,3580,0.7048424351449754,0.8338180162458428,0.6623256208717506,0.1512308879588377,0.6904177669964954,4,-0.32372304296779486
37,0.6807900432793562,2744,2744,0.7460534070238372,0.8634521148906198,0.7337792280921436,0.045468779686955514,0.7561555154445343,3,0.5324808889175149,2755,2755,0.7162399809582777,0.8485399059021441,0.6652259919262534,0.1190735400947058,0.5827719712638184,4,-0.14830915436184133
38,0.3467528335596475,5850,5850,0.734547202403377,0.7568437130959015,0.745341208529966,0.1387517803362445,0.712657884789914,5,0.34485361764318073,3318,3318,0.7881163116681194,0.7241609451340518,0.7805693598426731,0.09624764140698487,0.7338234112203832,4,-0.0018992159164667455
39,0.6110948651915197,4295,4295,0.7713223305330096,0.8119808190311285,0.7450115712468938,0.1427922965135594,0.8014843780244276,4,0.732080014185829,3604,3604,0.7585830478593593,0.6938610782390224,0.7491725095723272,0.07035984287537163,0.688554530828447,4,0.12098514899430934
40,0.555561303373246,3661,3661,0.7286585878808054,0.80742485234888,0.7249813215210346,0.06147621753885991,0.7265347248466127,4,0.6008685829630425,3378,3378,0.7845212302471283,0.8531666346449348,0.7478824008257665,0.11758781578682054,0.7927785751560543,4,0.04530727958979641
41,1.004965518004773,3665,3665,0.7627951544327759,0.7309284992228213,0.7460854601507121,0.14832261039512848,0.700202069692554,3,1.03741530389764,4267,4267,0.728105848841964,0.6849198755078161,0.7258686490267483,0.09992860461101176,0.6026040827112442,4,0.032449785892866956
42,1.363040772650251,3806,3806,0.7250148816325586,0.7423365515005649,0.6373834987627216,0.20609715538718423,0.5605323332204228,4,1.3144898248994124,3531,3531,0.7986522138990914,0.8173961982645807,0.7745927058391207,0.08087105779256892,0.7444819142589433,4,-0.04855094775083857
43,0.3418759531594432,4400,4400,0.7788592293450155,0.8404294142428739,0.647762043147466,0.2878830750480377,0.676819515713289,4,0.36197861614015564,4443,4443,0.8188747861754658,0.8306295552534678,0.8060879879851668,0.09009332866364977,0.8191295167229323,4,0.02010266298071245
44,0.7366120129835663,3110,3110,0.7359987582831155,0.6411509717536967,0.734495704550583,0.10356670599330552,0.6423985768499278,3,0.6789243729848079,3016,3016,0.7787325424548168,0.6713497391663015,0.7751777039365689,0.1036287973183591,0.671510652973003,4,-0.05768763999875837
