GCIN,regime,mean_post,mean_pre,median_post,median_pre,std_post,std_pre,q25_post,q25_pre,q75_post,q75_pre,count_post,count_pre,delta_mean,relative_delta_mean
1,high,,0.107040174305439,,0.09583468735218048,,0.05258040130138397,,0.06066868454217911,,0.14082059264183044,,58.0,,
1,low,,0.21164649724960327,,0.20149536430835724,,0.09005849808454514,,0.12894855439662933,,0.29633086919784546,,59.0,,
1,mid,,0.12886808812618256,,0.1064429059624672,,0.08081832528114319,,0.07404070347547531,,0.1619367152452469,,457.0,,
2,high,0.03764742985367775,0.04253775626420975,0.029666416347026825,0.0402730256319046,0.02802269160747528,0.02143852785229683,0.01774287410080433,0.023790225386619568,0.05147730931639671,0.058620307594537735,414.0,86.0,-0.004890326410531998,-0.11496437141999898
2,low,0.11957985162734985,0.09255977720022202,0.08594126254320145,0.08851571381092072,0.09272804111242294,0.043585311621427536,0.05421005189418793,0.06547796726226807,0.14673775434494019,0.11163681000471115,290.0,210.0,0.027020074427127838,0.2919202621747779
2,mid,0.051812510937452316,0.07132556289434433,0.036735087633132935,0.06122634932398796,0.055588800460100174,0.047576647251844406,0.02135474607348442,0.037274785339832306,0.06387259811162949,0.09146476536989212,2798.0,1193.0,-0.019513051956892014,-0.27357725849001713
3,high,0.05048243701457977,0.04160105064511299,0.04590589180588722,0.04151878505945206,0.02587534673511982,0.014377113431692123,0.03497114032506943,0.03343220055103302,0.05925397574901581,0.049495846033096313,300.0,290.0,0.008881386369466782,0.2134894727835463
3,low,0.12576819956302643,0.11487448960542679,0.10217960178852081,0.09777931869029999,0.0712895393371582,0.07377029955387115,0.07688753306865692,0.05815409868955612,0.16145071387290955,0.1455693393945694,350.0,241.0,0.01089370995759964,0.09483141117769119
3,mid,0.06401150673627853,0.053301986306905746,0.04893064498901367,0.0417197160422802,0.04985613003373146,0.043393488973379135,0.033449094742536545,0.029591187834739685,0.07727083563804626,0.06061825156211853,2360.0,2355.0,0.010709520429372787,0.20092160107709295
4,high,0.13938692212104797,0.11203303933143616,0.11720715463161469,0.09927873313426971,0.09461639076471329,0.060574766248464584,0.07231245189905167,0.06969032436609268,0.17144593596458435,0.14316901564598083,179.0,197.0,0.027353882789611816,0.24415907086737754
4,low,0.5795265436172485,0.2027609944343567,0.5615493059158325,0.13542959094047546,0.4136369824409485,0.1802826076745987,0.18022185564041138,0.09235116839408875,0.8491761684417725,0.25617876648902893,210.0,166.0,0.37676554918289185,1.8581756823296143
4,mid,0.22870106995105743,0.11320514976978302,0.15271776914596558,0.08658528327941895,0.20974934101104736,0.08793845027685165,0.08338998258113861,0.051399677991867065,0.3013037443161011,0.14539264142513275,1815.0,1184.0,0.11549592018127441,1.0202355671641261
5,high,0.11855144053697586,0.11605250835418701,0.09428641200065613,0.10209798067808151,0.08889929950237274,0.06553561240434647,0.05524780601263046,0.0638791173696518,0.15664437413215637,0.161290243268013,151.0,146.0,0.002498932182788849,0.021532771830852813
5,low,0.13580496609210968,0.12641318142414093,0.12131690979003906,0.11975733935832977,0.07116717100143433,0.07350011169910431,0.08983226865530014,0.07307702302932739,0.15605688095092773,0.15482477843761444,210.0,90.0,0.00939178466796875,0.0742943462237334
5,mid,0.1085476279258728,0.10385482013225555,0.08560970425605774,0.08347935974597931,0.08126918226480484,0.07520688325166702,0.053180992603302,0.051210515201091766,0.13581055402755737,0.13384835422039032,1521.0,847.0,0.0046928077936172485,0.04518623004345026
6,high,0.09726958721876144,0.08339560776948929,0.09479156881570816,0.07811042666435242,0.04760964587330818,0.03394516929984093,0.06404071301221848,0.05706284940242767,0.12439880520105362,0.1052839532494545,133.0,212.0,0.013873979449272156,0.16636343112482266
6,low,0.15007244050502777,0.11684858798980713,0.11924799531698227,0.09914523363113403,0.10304109007120132,0.07373958826065063,0.07641333341598511,0.06571391969919205,0.18825946748256683,0.13617302477359772,197.0,150.0,0.03322385251522064,0.2843325117297849
6,mid,0.0934615284204483,0.08613432943820953,0.07513762265443802,0.0715654194355011,0.06834184378385544,0.060072142630815506,0.048058781772851944,0.048343583941459656,0.1156313344836235,0.1034226343035698,1500.0,1251.0,0.0073271989822387695,0.08506711586458807
7,high,0.03706689924001694,0.03257802128791809,0.03317336365580559,0.03044404834508896,0.0174359492957592,0.014075646176934242,0.02535395324230194,0.02326192520558834,0.045399900525808334,0.04014205187559128,154.0,156.0,0.0044888779520988464,0.13778853885652026
7,low,0.06890559196472168,0.0522196926176548,0.05212865769863129,0.04358460009098053,0.054723724722862244,0.03244100138545036,0.03287310525774956,0.02999807335436344,0.08601076900959015,0.06536082178354263,139.0,174.0,0.01668589934706688,0.3195326994595444
7,mid,0.0391642265021801,0.04111868143081665,0.0313110314309597,0.03042389079928398,0.026400050148367882,0.03308253735303879,0.022901367396116257,0.022886473685503006,0.04493739828467369,0.045026518404483795,1569.0,908.0,-0.001954454928636551,-0.04753204287265332
8,high,0.03993844613432884,0.043349917978048325,0.02994076907634735,0.03438902273774147,0.031599562615156174,0.026927746832370758,0.02129470929503441,0.02650829404592514,0.0454697385430336,0.052729398012161255,196.0,403.0,-0.0034114718437194824,-0.0786961545220684
8,low,0.07446417957544327,0.07848524302244186,0.07261504232883453,0.07710268348455429,0.033173445612192154,0.03056400641798973,0.045332588255405426,0.05880101025104523,0.09747986495494843,0.09307917952537537,449.0,159.0,-0.004021063446998596,-0.05123336938446918
8,mid,0.05251051113009453,0.057029347866773605,0.04080964997410774,0.04399282485246658,0.03759261220693588,0.040784742683172226,0.027543283998966217,0.030564093962311745,0.06599799543619156,0.0725967064499855,2274.0,2501.0,-0.004518836736679077,-0.07923704032589575
9,high,0.033875640481710434,0.04715849086642265,0.03145713731646538,0.04100818186998367,0.014703829772770405,0.028031285852193832,0.025451216846704483,0.0327247716486454,0.037695590406656265,0.05390852689743042,63.0,150.0,-0.01328285038471222,-0.2816640257283922
9,low,0.07817543298006058,0.085718534886837,0.07339116930961609,0.07283368706703186,0.035929784178733826,0.04548393189907074,0.05107199400663376,0.051684729754924774,0.09599068760871887,0.10399125516414642,192.0,23.0,-0.007543101906776428,-0.08799849316993812
9,mid,0.0504583902657032,0.053943898528814316,0.04225744307041168,0.04370462894439697,0.03628129884600639,0.03952315077185631,0.030697543174028397,0.032069649547338486,0.05889049917459488,0.06238507479429245,746.0,941.0,-0.0034855082631111145,-0.06461357740485364
10,high,0.013039973564445972,0.012668071314692497,0.011904090642929077,0.012121745385229588,0.004648509435355663,0.004141193348914385,0.010262037627398968,0.010014757513999939,0.014247028157114983,0.014634504914283752,130.0,299.0,0.0003719022497534752,0.02935744838459671
10,low,0.019757231697440147,0.02204272523522377,0.018976720049977303,0.020921193063259125,0.0068139187060296535,0.005379881244152784,0.015179799869656563,0.01844700053334236,0.023155828937888145,0.02503342367708683,199.0,230.0,-0.0022854935377836227,-0.10368470837405605
10,mid,0.014375697821378708,0.014711498282849789,0.013408983126282692,0.01389455795288086,0.00520023237913847,0.00495035108178854,0.010681656189262867,0.011215384118258953,0.016838613897562027,0.017272641882300377,1558.0,1873.0,-0.0003358004614710808,-0.022825714622320054
11,high,0.4505069851875305,0.5020233988761902,0.3746277391910553,0.3286263942718506,0.38474899530410767,0.6185197234153748,0.150485098361969,0.16553299129009247,0.6160076260566711,0.5515967607498169,210.0,207.0,-0.05151641368865967,-0.10261755488684847
11,low,2.6808085441589355,3.6181576251983643,1.9430071115493774,1.8322522640228271,1.7005237340927124,3.4630701541900635,1.331676959991455,1.5024409294128418,4.290060997009277,5.041261672973633,303.0,114.0,-0.9373490810394287,-0.2590680611898546
11,mid,1.427760362625122,2.555727243423462,1.035062313079834,2.0470681190490723,1.163960576057434,2.0728137493133545,0.49457624554634094,0.9694375991821289,2.034287452697754,3.544374465942383,2119.0,1211.0,-1.1279668807983398,-0.441348693879946
12,high,0.5680570602416992,0.4891820251941681,0.4314967095851898,0.37708204984664917,0.5330924987792969,0.4702036678791046,0.14077866077423096,0.18068498373031616,0.7577788829803467,0.5972470641136169,142.0,154.0,0.07887503504753113,0.161238620769485
12,low,1.447959542274475,1.6865613460540771,0.9510089159011841,1.3308862447738647,1.4797128438949585,1.1727104187011719,0.5535528659820557,1.055034875869751,1.3581970930099487,1.824317216873169,211.0,85.0,-0.23860180377960205,-0.14147235399283936
12,mid,1.7574524879455566,1.8169037103652954,1.1428749561309814,1.3214393854141235,1.5346434116363525,1.8183549642562866,0.5146302580833435,0.6515018939971924,2.755262851715088,2.2818212509155273,1562.0,806.0,-0.05945122241973877,-0.03272117398438571
13,high,0.8410410284996033,1.7180472612380981,0.3911828100681305,0.2737279236316681,2.0527031421661377,4.060099124908447,0.18934594094753265,0.12486244738101959,0.7432563304901123,1.4730356931686401,203.0,146.0,-0.8770062327384949,-0.5104668844246385
13,low,9.567777633666992,20.24742317199707,5.91127347946167,22.113676071166992,9.033055305480957,8.247528076171875,2.366367816925049,14.420681953430176,15.775238990783691,26.22149658203125,153.0,199.0,-10.679645538330078,-0.5274570224373253
