pre_epsilon_mean,post_epsilon_mean,delta_epsilon_mean,pre_epsilon_arithmetic_mean,post_epsilon_arithmetic_mean,pre_qobs_valid_days,post_qobs_valid_days,pre_n_recession_days_predicted,post_n_recession_days_predicted,GCIN,fold
0.02834264002740383,0.04147734493017197,0.013134704902768135,0.010053100064396858,0.01479918509721756,1972,3600,1972,3600,79,0
0.049227386713027954,0.05538056045770645,0.006153173744678497,0.014604663476347923,0.016795404255390167,2945,3913,2945,3913,101,0
0.5587193369865417,0.541295051574707,-0.017424285411834717,0.03777269646525383,0.0386134497821331,1175,1947,1175,1947,210,0
0.6403528451919556,0.6599429249763489,0.01959007978439331,0.06556767225265503,0.06487412005662918,2169,1996,2169,1996,249,0
0.13826890289783478,0.1377238929271698,-0.000545009970664978,0.021633604541420937,0.02222144976258278,4180,3332,4180,3332,307,0
0.5503811240196228,0.5305646657943726,-0.019816458225250244,0.04120434448122978,0.04124258831143379,2555,2465,2555,2465,318,0
0.581455409526825,0.49904659390449524,-0.08240881562232971,0.04276488721370697,0.041151661425828934,2012,2604,2012,2604,339,0
1.0935792922973633,1.0025707483291626,-0.09100854396820068,0.060944948345422745,0.07059836387634277,1175,2122,1175,2122,403,0
0.6415402293205261,0.6321433782577515,-0.009396851062774658,0.06280920654535294,0.06197979301214218,5403,3638,5403,3638,481,0
0.48579952120780945,0.5206320285797119,0.034832507371902466,0.08998130261898041,0.08892122656106949,4609,3442,4609,3442,492,0
0.4082562029361725,0.3642193377017975,-0.044036865234375,0.04240656644105911,0.04153933748602867,5285,3864,5285,3864,681,0
0.6483159065246582,0.5749438405036926,-0.07337206602096558,0.05669781565666199,0.054900217801332474,4755,3639,4755,3639,703,0
0.8503677248954773,0.8041560649871826,-0.04621165990829468,0.08490363508462906,0.10526202619075775,2055,2592,2055,2592,736,0
0.09953775256872177,0.09498023241758347,-0.004557520151138306,0.027910538017749786,0.02784552611410618,2222,3062,2222,3062,792,0
0.27029022574424744,0.2513576149940491,-0.018932610750198364,0.036841459572315216,0.03619914501905441,2223,3482,2223,3482,803,0
0.4461650252342224,0.428638756275177,-0.01752626895904541,0.05377329885959625,0.05072108656167984,4362,2817,4362,2817,870,0
0.8086596727371216,0.7835756540298462,-0.02508401870727539,0.13562949001789093,0.131856769323349,1532,2358,1532,2358,947,0
