period,n_days,n_catchments,pooled_nse,pooled_kge,median_catchment_nse,median_catchment_kge,p10_catchment_nse,p90_catchment_nse,p10_catchment_kge,p90_catchment_kge,mean_catchment_nse,mean_catchment_kge
post,2995487,1154,0.28057436288417126,0.4369101921912517,-0.015603289404007015,0.07103221902734558,-0.5053598933377204,0.16332665740934865,-0.29810594561080184,0.3777767986986128,-0.1828198188004989,0.04999302181423143
pre,2017128,1153,0.326697488740446,0.46169069817565134,0.01658679231489102,0.11687531144390506,-0.342210775361519,0.24536824000379404,-0.30452173132760346,0.42950182180680124,-0.18871215253405177,0.08635267549093267
all,5012615,1158,0.3005724927247362,0.4487580389210962,-0.005102344621010113,0.09436709208171512,-0.4423818451674616,0.21347390777106562,-0.3012177877223716,0.40263075578759216,-0.18576470861184977,0.06816496836353206
